iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT900_num150.txt,fixed,2938,8,367.25,27.958675384521484,16.10763168334961,1.552469257148914e-05,-3.96,-0.217594419,0.2524999976158142,0.032392989844083786,0.20000000298023224,0.30000001192092896,-0.509619191,-0.504341915,0.0018600986339151859,0.6207326829433442,0.016906112496508287,0.045872744917869565,0.0003,897,303,117.0521846443521,16.129866123199463,8.970049858093262,25.099915981292725,1241,0.48713729879818857,0,0,TRUE,pair,404,7.24159049987793,5.366916269165387,60,0,7.272277227722772,7.24159049987793,0.7538872000295669,7.762867100303993,cpu,cuda:0,0,670.6201172,50
1,1,DDT900_num150.txt,fixed,2987,8,373.375,27.739582061767578,15.412184715270996,1.6600508388364688e-05,-3.773333333,-0.199319678,0.2641666531562805,0.029047371819615364,0.2266666740179062,0.3199999928474426,-0.357458778,-0.352310042,0.0015436592996896554,0.5920571982860565,0.014447065904581299,0.059315494261682034,0.0003,883,317,122.12631632427804,15.43569302558899,9.022589921951294,24.458282947540283,1235,0.49169880291447043,0,0,TRUE,pair,404,6.4979094041045755,5.348510212031423,45,0,7.393564356435643,6.4979094041045755,0.7136795013211668,7.845091393915936,cpu,cuda:0,0,670.6220703,49
2,1,DDT900_num150.txt,fixed,3030,8,378.75,23.020370483398438,16.379467010498047,1.3770608347840607e-05,-3.64,-0.189870314,0.27250000834465027,0.03044804371893406,0.2266666740179062,0.31333333253860474,-0.243107718,-0.237873006,0.0014494104194454848,0.5959419190883637,0.024877170287072658,0.03252045959234238,0.0003,873,327,106.17788077281928,16.41685724258423,12.12015986442566,28.537017107009888,1248,0.5133312998805195,0,0,TRUE,pair,402,7.011494700796902,5.333993402880804,80,0,7.537313432835821,7.011494700796902,0.7374375029467046,8.263141204370186,cpu,cuda:0,0,670.62255859375,50
3,1,DDT900_num150.txt,fixed,3092,8,386.5,19.170289993286133,15.80514144897461,1.1777008694480173e-05,-3.546666667,-0.195367495,0.2783333361148834,0.019075872376561165,0.24666666984558105,0.30666667222976685,-0.600706542,-0.595492077,0.0011084060417488218,0.5768675684928894,0.02036946448497474,0.05011768750846386,0.0003,866,334,129.48953537907846,15.836359977722168,8.042017459869385,23.878377437591553,1239,0.5795410051941872,0,0,TRUE,pair,411,6.7018259996548295,5.324062094574296,65,0,7.523114355231144,6.7018259996548295,0.7294783056713641,8.015004701912403,cpu,cuda:0,0,670.62451171875,50
4,1,DDT900_num150.txt,fixed,2979,8,372.375,15.156991004943848,18.26702117919922,9.608002073946409e-06,-3.84,-0.169345343,0.25999999046325684,0.02160247229039669,0.23333333432674408,0.30000001192092896,-0.123556599,-0.118089952,0.0016407708390033804,0.6287027895450592,0.04868588163662935,0.05254202079959214,0.0003,888,312,86.65215705577037,18.294697523117065,16.084135055541992,34.37883257865906,1283,0.5771482978016138,0,0,TRUE,pair,392,8.099680898245424,5.392749245753421,50,0,7.599489795918367,8.099680898245424,0.8832715016324073,8.791435399791226,cpu,cuda:0,0,670.6220703,50
5,1,DDT900_num150.txt,fixed,3093,8,386.625,13.655928611755371,16.91886329650879,7.104713859007461e-06,-3.453333333,-0.177999968,0.2841666638851166,0.020258743315935135,0.23999999463558197,0.30666667222976685,-0.162809454,-0.157187574,0.0015290926676243544,0.6386427134275436,0.013338278251467273,0.024425938725471497,0.0003,859,341,126.89546406247175,16.951520919799805,7.42287278175354,24.374393701553345,1249,0.5200485021341592,0,0,TRUE,pair,408,7.541234103962779,5.5202069187719305,75,0,7.580882352941177,7.541234103962779,0.8153299039695412,8.18238729191944,cpu,cuda:0,0,670.62451171875,50
6,1,DDT900_num150.txt,fixed,2927,8,365.875,28.51068878173828,15.617853164672852,1.356264328933321e-05,-3.64,-0.168306374,0.2724999785423279,0.04402492940425873,0.20666666328907013,0.35333332419395447,0.24848914643128714,0.2545551011959712,0.0013892445325230558,0.6760565936565399,0.010810959084968394,0.022019945705930393,0.0003,873,327,102.68559702325778,15.64721941947937,12.857264995574951,28.50448441505432,1223,0.529113800264895,0,0,TRUE,pair,414,6.763027600711212,5.57430816633448,50,0,7.070048309178744,6.763027600711212,0.7690481001045555,7.727145094657317,cpu,cuda:0,0,670.6201172,50
7,1,DDT900_num150.txt,fixed,2967,8,370.875,21.985435485839844,14.883148193359375,1.0757936252048239e-05,-3.68,-0.208333312,0.26999998092651367,0.026666661724448204,0.24666666984558105,0.3266666531562805,0.09378058910369873,0.09978605508804321,0.0012421911698766053,0.6626566290855408,0.0176486348034814,0.02764756977558136,0.0003,876,324,104.09256264179523,14.909066915512085,13.594410419464111,28.503477334976196,1212,0.4903691012877971,0,0,TRUE,pair,403,6.243732099188492,5.591506572616675,50,0,7.362282878411911,6.243732099188492,0.6986026039812714,7.60295829619281,cpu,cuda:0,0,670.6220703,53
8,1,DDT900_num150.txt,fixed,2918,8,364.75,18.733325958251953,15.763277053833008,9.572439012117684e-06,-3.813333333,-0.244564141,0.2616666555404663,0.027436792850494385,0.20666666328907013,0.2933333218097687,-1.167003274,-1.163724929,0.004019474668893963,0.528803825378418,0.023163884412497282,0.08663793094456196,0.0003,886,314,149.14709228478407,15.78871750831604,3.7758610248565674,19.564578533172607,1204,0.5031272037886083,0,0,TRUE,pair,391,6.858882299391553,5.8413296772078995,80,0,7.462915601023018,6.858882299391553,0.771078793797642,7.767620405647904,cpu,cuda:0,0,670.6201172,50
9,1,DDT900_num150.txt,fixed,2945,8,368.125,39.8824462890625,16.813796997070312,1.680470450082794e-05,-3.84,-0.246449962,0.25999999046325684,0.03944053128361702,0.20666666328907013,0.3199999928474426,-0.902532419,-0.897465428,0.0015310308857200046,0.583251416683197,0.052025312557816505,0.05135148329039415,0.0003,888,312,163.56873780655835,16.84176993370056,1.1628930568695068,18.00466299057007,1238,0.6068378062918782,0,0,TRUE,pair,448,7.9053192981518805,5.4903225791069765,60,0,6.573660714285714,7.9053192981518805,0.8145646003540605,7.726278898306191,cpu,cuda:0,0,185.89794921875,50
10,1,DDT900_num150.txt,fixed,2948,8,368.5,26.29163360595703,15.100197792053223,1.2552687621791847e-05,-3.853333333,-0.232603833,0.2591666579246521,0.04074820876121521,0.20000000298023224,0.3266666531562805,-1.314998269,-1.310388565,0.004319695755839348,0.6769507527351379,0.05606028437614441,0.107421875,0.0003,889,311,159.45527160599573,15.127819299697876,3.360123872756958,18.487943172454834,1203,0.4914534017443657,0,0,TRUE,pair,407,6.360963996499777,5.348032564612224,50,0,7.243243243243243,6.360963996499777,0.7026838997844607,7.691153105581179,cpu,cuda:0,0,670.6220703,50
11,1,DDT900_num150.txt,fixed,2897,8,362.125,31.596824645996094,15.610336303710938,3.6457000533118844e-05,-4.093333333,-0.223813492,0.24416667222976685,0.028467820957303047,0.2199999988079071,0.30666667222976685,-1.327271223,-1.322703838,0.0023139407858252525,0.5724330544471741,0.04522571340203285,0.02380952425301075,0.0003,907,293,182.0518468685338,15.636929035186768,0.2761201858520508,15.913049221038818,1258,0.5311196963302791,0,0,TRUE,pair,430,6.756122298305854,5.666206420023441,50,0,6.7372093023255815,6.756122298305854,0.74113579839468,7.748867906164378,cpu,cuda:0,0,89.56933594,49
12,1,DDT900_num150.txt,fixed,2927,8,365.875,21.865713119506836,14.787036895751953,9.003261766338255e-06,-3.933333333,-0.213732388,0.2541666626930237,0.022469110786914825,0.2266666740179062,0.2933333218097687,-0.185419824,-0.18045738,0.0038391162888729014,0.6882000081241131,0.012836979847634211,0.060687203891575336,0.0003,895,305,98.18870971960212,14.820307493209839,14.98963713645935,29.80994462966919,1252,0.6035481991712004,0,0,TRUE,pair,396,6.241224599070847,5.457123332435782,50,0,7.391414141414141,6.241224599070847,0.7029611000325531,7.5078931003808975,cpu,cuda:0,0,670.6201172,50
13,1,DDT900_num150.txt,fixed,2832,8,354,27.225906372070312,14.36848258972168,1.0614313396217767e-05,-4.133333333,-0.271150773,0.24166667461395264,0.038405731320381165,0.18000000715255737,0.30666667222976685,-0.0937429,-0.088867024,0.004137702773732599,0.6944734267890453,0.011764902141294442,0.03906342340633273,0.0003,910,290,104.6887404256325,14.39517617225647,12.65644359588623,27.0516197681427,1202,0.4759210997726768,0,0,TRUE,pair,398,6.138597097247839,5.6433615783850355,56,0,7.115577889447236,6.138597097247839,0.6667567037511617,7.245119895087555,cpu,cuda:0,0,670.61962890625,49
