iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT600_num100.txt,fixed,2055,8,256.875,12.312975883483887,10.384564399719238,9.066177881322801e-06,-4.6,-0.247018768,0.21250000596046448,0.01854049414396286,0.1899999976158142,0.23999999463558197,-0.407811248,-0.402480676,0.003730381828394126,0.719575518911535,0.012422598369250243,0.06735986572774974,0.0003,630,170,76.11974233707984,10.407251834869385,16.589686632156372,26.996938467025757,906,0.29515549854841083,0,0,TRUE,pair,275,4.405074000474997,6.319708023396141,50,0,7.472727272727273,4.405074000474997,0.5019651019247249,5.248981797951274,cpu,cuda:0,0,671.44873046875,50
1,1,DDT600_num100.txt,fixed,2036,8,254.5,16.209564208984375,10.51427936553955,2.9351642297115177e-05,-4.7,-0.232430718,0.20624999701976776,0.02117634378373623,0.1599999964237213,0.23000000417232513,-0.055252224,-0.04734089,0.002689823479158804,0.9256240626176199,0.013930198018594334,0.11824804544448853,0.0003,635,165,106.50776147168742,10.536294937133789,8.57968282699585,19.11597776412964,873,0.28991970082279295,0,0,TRUE,pair,283,4.6594052008586,6.57711198287769,50,0,7.19434628975265,4.6594052008586,0.5170194013044238,5.110272501013242,cpu,cuda:0,0,671.44677734375,51
2,1,DDT600_num100.txt,fixed,2031,8,253.875,13.706180572509766,9.561371803283691,8.14819668448763e-06,-4.56,-0.281975819,0.2150000035762787,0.03570714220404625,0.17000000178813934,0.2800000011920929,-0.124046099,-0.116343182,0.0030282893916592003,0.9217036843299866,0.024565838649868964,0.042862418293952945,0.0003,628,172,122.72246337907117,9.581294059753418,6.968243360519409,16.549537420272827,877,0.2822269991738722,0,0,TRUE,pair,281,3.9550266002770513,6.707533235681403,100,0,7.227758007117438,3.9550266002770513,0.4588956998195499,4.934782100026496,cpu,cuda:0,0,671.44677734375,51
3,1,DDT600_num100.txt,fixed,2053,8,256.625,11.661233901977539,10.477133750915527,8.503224307787605e-06,-4.76,-0.326076658,0.20250001549720764,0.015612494200468063,0.18000000715255737,0.23000000417232513,-0.308675629,-0.301739155,0.00369670065785093,0.8784825163228172,0.009277942767810254,0.08047084430498737,0.0003,638,162,56.83283987907033,10.497172117233276,25.62630867958069,36.123480796813965,887,0.318660898366943,0,0,TRUE,pair,274,4.444671899778768,6.382367266600618,50,0,7.492700729927007,4.444671899778768,0.5334982029162347,5.25555209745653,cpu,cuda:0,0,671.44873046875,51
4,1,DDT600_num100.txt,fixed,2005,8,250.625,15.369917869567871,8.907840728759766,9.091222636925522e-06,-4.8,-0.377103761,0.19999998807907104,0.03500000014901161,0.12999999523162842,0.25,-0.464358127,-0.457984047,0.006400238699279725,0.9574190616607666,0.021421533683314918,0.08412304297089576,0.0003,640,160,101.74945360473266,8.930282592773438,10.774982929229736,19.705265522003174,880,0.32637149724178016,0,0,TRUE,pair,281,3.373569100862369,6.7097256867368325,70,0,7.135231316725979,3.373569100862369,0.41466289840172976,4.907688400824554,cpu,cuda:0,0,671.44677734375,51
5,1,DDT600_num100.txt,fixed,2023,8,252.875,10.70557689666748,8.81048583984375,7.5845591709367e-06,-4.66,-0.353625665,0.20875000953674316,0.01763341948390007,0.18000000715255737,0.23000000417232513,-0.188952963,-0.182463763,0.0041557972532852245,0.8567095374067625,0.01900410985884567,0.09573783446103334,0.0003,633,167,85.32511355754478,8.836306095123291,14.873008966445923,23.709315061569214,877,0.3078203999903053,0,0,TRUE,pair,271,3.280261200852692,6.409293128780605,48,0,7.464944649446495,3.280261200852692,0.41834740072954446,4.903553600190207,cpu,cuda:0,0,671.44677734375,51
6,1,DDT600_num100.txt,fixed,2031,8,253.875,10.682198524475098,8.411643981933594,7.255136551975738e-06,-4.76,-0.389238937,0.20250000059604645,0.021650632843375206,0.17000000178813934,0.23000000417232513,-0.286892149,-0.28089477,0.005184209776214427,0.8589489426877763,0.009868690938067934,0.07016390065352122,0.0003,638,162,103.59916346531928,8.432361364364624,11.172044038772583,19.604405403137207,889,0.27983679715543985,0,0,TRUE,pair,269,3.0114646008005366,6.386509108343834,70,0,7.550185873605948,3.0114646008005366,0.40510970389004797,4.799262702581473,cpu,cuda:0,0,671.44677734375,51
7,1,DDT600_num100.txt,fixed,2055,8,256.875,11.395586013793945,9.125801086425781,7.59953354645404e-06,-4.64,-0.392585467,0.21000002324581146,0.029580403119325638,0.1599999964237213,0.27000001072883606,-0.289633433,-0.284043965,0.004875770770013332,0.8027348385916816,0.010143860042767806,0.06450242714749442,0.0003,632,168,99.15656323944263,9.146101713180542,11.578698873519897,20.72480058670044,886,0.30549420008901507,0,0,TRUE,pair,278,3.4549847008893266,6.334793183867369,50,0,7.392086330935252,3.4549847008893266,0.4251592975342646,5.0355164968641475,cpu,cuda:0,0,671.44873046875,51
8,1,DDT600_num100.txt,fixed,2105,8,263.125,11.741353034973145,9.054455757141113,7.501665550080361e-06,-4.36,-0.389097886,0.22749999165534973,0.04351723566651344,0.1599999964237213,0.28999999165534973,-0.963516653,-0.960544944,0.01151376124471426,0.8728556632995605,0.05645047873258591,0.0810810849070549,0.0003,618,182,227.13854455474862,9.075037479400635,0.19243407249450684,9.267471551895142,881,0.3805519003653899,0,0,TRUE,pair,286,3.352052300120704,5.966270782828614,55,0,7.36013986013986,3.352052300120704,0.4255669948179275,5.061767000355758,cpu,cuda:0,0,79.94335938,49
9,1,DDT600_num100.txt,fixed,2022,8,252.75,11.431863784790039,8.952914237976074,7.659138645976782e-06,-4.62,-0.40324977,0.21125000715255737,0.029341736808419228,0.14000000059604645,0.23999999463558197,-0.135062192,-0.129766644,0.005702306220138615,0.8146700154651295,0.011815469373356213,0.07491975565525619,0.0003,631,169,56.65737082339931,8.977029800415039,26.711177587509155,35.688207387924194,874,0.29522260080557317,0,0,TRUE,pair,269,3.468562701018527,6.306627100818117,60,0,7.516728624535316,3.468562701018527,0.41812210134230554,4.858490797574632,cpu,cuda:0,0,671.44677734375,51
