iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT600_num150.txt,fixed,3291,8,411.375,23.563411712646484,19.128599166870117,1.2669877833104692e-05,-4.493333333,-0.093808847,0.21916669607162476,0.04142429307103157,0.18000000715255737,0.2933333218097687,0.01616862416267395,0.020603463053703308,0.0023650730727240443,0.561738133430481,0.02731292089447379,0.040640791528858244,0.0003,937,263,149.77421777122663,19.15518808364868,2.8178861141204834,21.973074197769165,1403,0.7338428996736184,0,0,TRUE,pair,452,8.187748400843702,4.952294136607803,45,0,7.280973451327434,8.187748400843702,0.8174865001346916,9.687902102596126,cpu,cuda:0,0,366.5546875,48
1,1,DDT600_num150.txt,fixed,3278,8,409.75,28.634550094604492,17.67208480834961,1.2777100891980808e-05,-4.546666667,-0.103646762,0.21583333611488342,0.04748538136482239,0.14666666090488434,0.2800000011920929,0.22730386350303888,0.22929092159029096,0.0053350660600699484,0.4654574766755104,0.14113487480062759,0.051826014183461666,0.0003,941,259,136.28315061757286,17.69755530357361,6.3553080558776855,24.052863359451294,1401,0.5906074004014954,0,0,TRUE,pair,447,7.414517600089312,5.052776079777176,45,0,7.333333333333333,7.414517600089312,0.743456902098842,9.114915799582377,cpu,cuda:0,0,670.24072265625,48
2,1,DDT600_num150.txt,fixed,3077,8,384.625,20.272748947143555,17.08163833618164,1.06410570879234e-05,-5.093333333,-0.167424994,0.18166667222976685,0.02619372308254242,0.14666666090488434,0.23333333432674408,-0.01051268,-0.005675852,0.0017541349516250193,0.5713890492916107,0.02130382036557421,0.024553393945097923,0.0003,982,218,161.9251821785951,17.10719656944275,1.895406723022461,19.00260329246521,1349,0.575153598561883,0,0,TRUE,pair,425,7.306634400505573,5.181995450811104,50,0,7.24,7.306634400505573,0.789008300518617,8.585195697378367,cpu,cuda:0,0,316.03759765625,49
3,1,DDT600_num150.txt,fixed,3118,8,389.75,14.897566795349121,16.88279151916504,8.55653706821613e-06,-5.066666667,-0.165915452,0.18333333730697632,0.022607769817113876,0.14666666090488434,0.2133333384990692,-0.322955467,-0.318195544,0.0010921034845523536,0.530597373843193,0.017538678250275552,0.02079365123063326,0.0003,980,220,161.47290218659805,16.90827512741089,2.4014663696289062,19.309741497039795,1349,0.5799028024775907,0,0,TRUE,pair,407,7.092279800330289,5.082424629950386,50,0,7.660933660933661,7.092279800330289,0.7445918027078733,8.661375096999109,cpu,cuda:0,0,311.5703125,49
4,1,DDT600_num150.txt,fixed,3248,8,406,24.68299102783203,16.836149215698242,1.3836496691510547e-05,-4.44,-0.123838434,0.2224999964237213,0.04067998006939888,0.15333333611488342,0.2933333218097687,-0.072435497,-0.069712309,0.002530915691750124,0.39886412769556046,0.04748711028514663,0.031118997372686863,0.0003,933,267,132.0722833710914,16.865898609161377,7.7266950607299805,24.592593669891357,1382,0.5460974029265344,0,0,TRUE,pair,444,7.050873299478553,4.803263547385267,45,0,7.315315315315315,7.050873299478553,0.7049887010361999,8.613278001663275,cpu,cuda:0,0,670.3867188,49
5,1,DDT600_num150.txt,fixed,3262,8,407.75,22.74725341796875,17.398435592651367,1.1699527931341436e-05,-4.56,-0.137911999,0.2150000035762787,0.04133198782801628,0.15333333611488342,0.2866666615009308,-0.008069899,-0.007055676,0.00364168721716851,0.28350670635700226,0.021333804237656295,0.03488372266292572,0.0003,942,258,157.08282677223556,17.424553632736206,3.3415610790252686,20.766114711761475,1381,0.6768327010795474,0,0,TRUE,pair,440,7.315370399854146,4.8605150208379655,75,0,7.413636363636364,7.315370399854146,0.7891805031104013,8.89732060499955,cpu,cuda:0,0,670.3867188,48
6,1,DDT600_num150.txt,fixed,3311,8,413.875,22.385473251342773,18.15546417236328,1.3687801583728287e-05,-4.506666667,-0.140510174,0.21833333373069763,0.029011491686105728,0.1733333319425583,0.25999999046325684,0.03841295838356018,0.04324261657893658,0.0011167018674314022,0.5388008058071136,0.04280360016855411,0.044921875,0.0003,938,262,139.85478323654482,18.190333366394043,5.484223365783691,23.674556732177734,1409,0.5998029035981745,0,0,TRUE,pair,460,7.830506099737249,4.816671701688775,45,0,7.197826086956522,7.830506099737249,0.8423177021322772,9.06511910201516,cpu,cuda:0,0,670.38720703125,48
7,1,DDT600_num150.txt,fixed,3160,8,395,28.06243133544922,16.315887451171875,1.1892284419445787e-05,-4.64,-0.167356155,0.20999997854232788,0.05033222958445549,0.14666666090488434,0.2866666615009308,-0.32743263,-0.323701367,0.0017689333374922474,0.46157220005989075,0.0504975329968147,0.025905066790680092,0.0003,948,252,145.15819614128486,16.34253978729248,5.426813125610352,21.769352912902832,1366,0.5735650981077924,0,0,TRUE,pair,432,6.7313403993612155,5.142721518534648,100,0,7.314814814814815,6.7313403993612155,0.6862305003451183,8.535529803368263,cpu,cuda:0,0,670.3847656,49
8,1,DDT600_num150.txt,fixed,3206,8,400.75,19.873035430908203,17.289724349975586,1.078959303413285e-05,-4.533333333,-0.168640144,0.21666666865348816,0.01885618083178997,0.1733333319425583,0.23999999463558197,0.10278998222202063,0.10749466717243195,0.0012400243722368032,0.5324693620204926,0.02810708899050951,0.022456173785030842,0.0003,940,260,144.02901698274488,17.320651531219482,4.938751935958862,22.259403467178345,1347,0.5860756015172228,0,0,TRUE,pair,431,7.240962499170564,5.048034934869649,52,0,7.438515081206496,7.240962499170564,0.7427331962389871,8.917451299726963,cpu,cuda:0,0,670.3867188,48
9,1,DDT600_num150.txt,fixed,3103,8,387.875,16.143400192260742,16.424335479736328,1.1424206604715437e-05,-5.04,-0.204979523,0.1849999874830246,0.03647678345441818,0.15333333611488342,0.24666666984558105,0.012352890179802975,0.017419319599866867,0.000997428879297028,0.5565146406491598,0.02453944021059821,0.034394237833718456,0.0003,978,222,152.79401528646272,16.45223617553711,3.8561508655548096,20.30838704109192,1371,0.5674628994893283,0,0,TRUE,pair,410,6.918215398443863,5.126329358685143,48,0,7.568292682926829,6.918215398443863,0.7105613988824189,8.423757003503852,cpu,cuda:0,0,670.38427734375,48
