iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT1200_num150.txt,fixed,3904,8,488,13.711309432983398,18.0654354095459,8.503224307787605e-06,-0.186666667,0.20870654924783544,0.4883333444595337,0.030322333797812462,0.4399999976158142,0.5266666412353516,-0.087436967,-0.082168281,0.0004632783238776028,0.5500321984291077,0.03962875157594681,0.06060606241226196,0.0003,614,586,205.32832149151866,18.08040952682495,0.9330415725708008,19.013451099395752,1123,0.3833797001061612,0,0,TRUE,pair,510,6.603541099895665,4.693391392404427,40,0,7.654901960784314,6.603541099895665,0.9480586003701319,10.058530100293865,cpu,cuda:0,0,197.296875,41
1,1,DDT1200_num150.txt,fixed,3979,8,497.375,19.867923736572266,18.064531326293945,1.2044268260069657e-05,0.10666666666666667,0.20483886917648797,0.5066666603088379,0.03915780037641525,0.4399999976158142,0.5666666626930237,0.19559122355920927,0.1994576251932553,0.0006173737762895014,0.4175094280924116,0.014015332130449159,0.0468365577980876,0.0003,592,608,131.78889399085114,18.092547178268433,12.09967827796936,30.192225456237793,1124,0.45461300000170013,0,0,TRUE,pair,533,6.601762000107556,4.706710228640759,40,0,7.465290806754221,6.601762000107556,0.957388299939339,10.042126900094445,cpu,cuda:0,0,670.4853516,42
2,1,DDT1200_num150.txt,fixed,3928,8,491,14.230249404907227,20.470415115356445,8.84401197254192e-06,-0.106666667,0.20158133873541859,0.4933333396911621,0.03162277489900589,0.4399999976158142,0.5400000214576721,-0.119455239,-0.114942024,0.0003569007078315028,0.469166358311971,0.00798851296874798,0.04088944155308935,0.0003,608,592,100.06200912172798,20.49882459640503,18.75683331489563,39.25565791130066,1131,0.44339300004503457,0,0,TRUE,pair,519,8.024104499956593,4.70519348293118,36,0,7.568400770712909,8.024104499956593,1.0132754998630844,10.923328399418097,cpu,cuda:0,0,670.4833984,44
3,1,DDT1200_num150.txt,fixed,3911,8,488.875,22.871583938598633,20.11067008972168,1.2848085134464782e-05,0.12000000000000001,0.18220323140004432,0.5074999928474426,0.039782386273145676,0.46000000834465027,0.5799999833106995,-0.155357584,-0.151909664,0.00023636090918444097,0.3566098213195801,0.16828489303588867,0.056179776787757874,0.0003,591,609,189.24004851831234,20.137205839157104,0.5296669006347656,20.66687273979187,1123,0.41371199994318886,0,0,TRUE,pair,531,8.312311100038642,4.621580158222426,39,0,7.365348399246704,8.312311100038642,1.0034847000206355,10.315063000045484,cpu,cuda:0,0,148.11181640625,45
4,1,DDT1200_num150.txt,fixed,3976,8,497,17.783418655395508,20.8887996673584,6.843900791864144e-06,0.16,0.18672619828915035,0.5099999904632568,0.03126944229006767,0.46000000834465027,0.54666668176651,0.011677633970975876,0.01469625998288393,0.00033684654044918716,0.3187049627304077,0.06432953476905823,0.03378378599882126,0.0003,588,612,182.40510689371433,20.91924214363098,0.8783931732177734,21.797635316848755,1125,0.40525630010233726,0,0,TRUE,pair,522,8.833274099932169,4.582746478003755,30,0,7.616858237547893,8.833274099932169,1.0814591999151162,10.468382100159943,cpu,cuda:0,0,215.5117188,46
5,1,DDT1200_num150.txt,fixed,3988,8,498.5,19.576772689819336,20.993772506713867,1.1582334082049783e-05,0.05333333333333334,0.18972079199117559,0.503333330154419,0.03415650874376297,0.4399999976158142,0.54666668176651,-0.093356419,-0.089731859,0.00024959179791039787,0.37493492662906647,0.01637540804222226,0.04442548658698797,0.0003,596,604,155.9677174896836,21.024582147598267,4.544811725616455,25.56939387321472,1156,0.40906309985439293,0,0,TRUE,pair,525,8.86157110005297,4.573219659126391,35,0,7.596190476190476,8.86157110005297,1.103430799987109,10.53326790034771,cpu,cuda:0,0,670.4853516,46
6,1,DDT1200_num150.txt,fixed,3899,8,487.375,15.69185733795166,18.943931579589844,9.655216672399547e-06,0.04,0.17542468968582614,0.5024999976158142,0.026444392278790474,0.47333332896232605,0.5533333420753479,-0.36844451,-0.364998437,0.00011598128185141832,0.35040637850761414,0.023692114045843482,0.050446875393390656,0.0003,597,603,193.74708135249222,18.97192358970642,1.1522505283355713,20.124174118041992,1105,0.3854741999602993,0,0,TRUE,pair,523,7.415849200020602,4.5478327775741425,32,0,7.455066921606119,7.415849200020602,0.9725497999752406,10.091688099884777,cpu,cuda:0,0,164.45556640625,46
7,1,DDT1200_num150.txt,fixed,3971,8,496.375,13.50867748260498,20.19612693786621,8.895282007870264e-06,0.25333333333333335,0.15493883383068296,0.51583331823349,0.029047377407550812,0.47333332896232605,0.5600000023841858,-0.097682776,-0.093778297,0.00016967849660431966,0.3989317308772694,0.04424615018069744,0.060815323144197464,0.0003,581,619,101.82124483758932,20.225314140319824,18.774405479431152,38.99971961975098,1125,0.39762740005971864,0,0,TRUE,pair,523,8.276641800097423,4.604381767966771,40,0,7.592734225621415,8.276641800097423,1.0464398998228717,10.389723299987963,cpu,cuda:0,0,670.4853516,47
8,1,DDT1200_num150.txt,fixed,4044,8,505.5,17.42125129699707,22.68838882446289,9.772254088602494e-06,0.44,0.1476724855145338,0.5274999737739563,0.03836050629615784,0.47999998927116394,0.6000000238418579,-0.054958163,-0.051163921,0.0002797732517744104,0.3934132973353068,0.01399895000892381,0.04432424375166496,0.0003,567,633,77.85772393387114,22.71922540664673,29.22167134284973,51.94089674949646,1111,0.41538459993171273,0,0,TRUE,pair,526,10.247102999979688,4.541295746313712,35,0,7.688212927756654,10.247102999979688,1.2486874003516277,10.654918399646704,cpu,cuda:0,0,670.48583984375,49
9,1,DDT1200_num150.txt,fixed,3960,8,495,17.00735092163086,19.957111358642578,8.895282007870264e-06,0.3066666666666667,0.14699054590919922,0.5191666483879089,0.035813942551612854,0.47999998927116394,0.5933333039283752,-0.161594158,-0.157961941,0.0001612160589762165,0.3712825296180589,0.03315004630712792,0.03468312742188573,0.0003,577,623,89.2817984332213,19.98612403869629,24.367821216583252,44.35394525527954,1121,0.4057033001226955,0,0,TRUE,pair,529,8.147219599995879,4.612878787698167,32,0,7.485822306238186,8.147219599995879,1.0343387999528204,10.287678899876482,cpu,cuda:0,0,670.4833984,50
