iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT1200_num100.txt,fixed,3038,8,379.75,19.382659912109375,14.016901016235352,1.0024927178164944e-05,0.19999999999999998,-0.034358115,0.512499988079071,0.0366571880877018,0.46000000834465027,0.5799999833106995,-0.124910767,-0.111783479,0.0009240699307863704,1.3589322015091225,0.003366675300505314,0.04078686982393265,0.0003,390,410,54.94113390230424,14.041497468948364,41.254048585891724,55.29554605484009,836,0.30553310000004785,0,0,TRUE,pair,407,5.061207999999283,6.840684659548541,70,0,7.464373464373464,5.061207999999283,0.6893864000031726,7.917779099996551,cpu,cuda:0,0,671.32275390625,41
1,1,DDT1200_num100.txt,fixed,3050,8,381.25,13.112494468688965,14.343536376953125,8.629303920315579e-06,0.22,-0.014651483,0.5137499570846558,0.0307967159897089,0.46000000834465027,0.550000011920929,-0.133945591,-0.121134348,0.0006940967750442387,1.3158291710747614,0.0024901999584269812,0.026310182831905508,0.0003,389,411,55.08095735190079,14.366739511489868,41.00629949569702,55.37303900718689,831,0.3159923000002891,0,0,TRUE,pair,397,5.279220599999462,6.451475411086786,60,0,7.682619647355164,5.279220599999462,0.7315191000043342,7.961245099999019,cpu,cuda:0,0,671.32275390625,42
2,1,DDT1200_num100.txt,fixed,3052,8,381.5,15.239750862121582,14.278426170349121,8.496536793245468e-06,0.059999999999999984,-0.031512259,0.5037499666213989,0.03935019299387932,0.4399999976158142,0.550000011920929,-0.153990957,-0.141568336,0.0006999621454505595,1.2772599458694458,0.0027565461118852167,0.03031345263675407,0.0003,397,403,56.64025788811628,14.303740501403809,39.58019495010376,53.88393545150757,816,0.42006380000111676,0,0,TRUE,pair,398,5.271354799999472,5.972477065431025,65,0,7.668341708542713,5.271354799999472,0.6951282000006813,7.956586300000822,cpu,cuda:0,0,671.32275390625,44
3,1,DDT1200_num100.txt,fixed,3086,8,385.75,16.261533737182617,14.29251480102539,1.1655718481051736e-05,0.19999999999999998,-0.029706026,0.512499988079071,0.05141740292310715,0.41999998688697815,0.5899999737739563,-0.143823322,-0.130342451,0.0004471664212394023,1.3704458254354972,0.002749102414883156,0.0320312033959285,0.0003,390,410,55.29958613177993,14.31757664680481,41.48754262924194,55.80511927604675,828,0.3190075000022716,0,0,TRUE,pair,406,5.298176700001022,6.445236551823434,60,0,7.600985221674877,5.298176700001022,0.7161394999950517,7.918523199998845,cpu,cuda:0,0,671.32470703125,45
4,1,DDT1200_num100.txt,fixed,3050,8,381.25,16.872684478759766,13.72052001953125,1.0392424883320928e-05,0.27999999999999997,-0.004646648,0.5174999833106995,0.049180787056684494,0.4399999976158142,0.5799999833106995,-0.161986947,-0.149519662,0.0006421515340830579,1.27883599864112,0.005349562971214591,0.069395970173732,0.0003,386,414,56.14813113599319,13.747760534286499,40.57283639907837,54.32059693336487,832,0.3051588999993555,0,0,TRUE,pair,402,4.964440300000433,6.119344261591552,70,0,7.587064676616915,4.964440300000433,0.6884416999994301,7.720677100001808,cpu,cuda:0,0,671.32275390625,45
5,1,DDT1200_num100.txt,fixed,3074,8,384.25,17.837810516357422,17.290613174438477,1.0381480024079792e-05,0.3,-0.023725556,0.5187499523162842,0.044563859701156616,0.41999998688697815,0.5799999833106995,-0.175302856,-0.162258011,0.0008226307405426201,1.3456167446242437,0.005195182254451707,0.07094595167371961,0.0003,385,415,44.98947100165574,17.34720230102539,50.97989583015442,68.32709813117981,843,0.362775600000532,0,0,TRUE,pair,410,7.659274999999752,6.348405985686402,90,0,7.4975609756097565,7.659274999999752,0.8336811999979545,8.397384199998669,cpu,cuda:0,0,671.32470703125,48
6,1,DDT1200_num100.txt,fixed,2995,8,374.375,10.919449806213379,15.089696884155273,6.8770432335441e-06,-0.02,0.010679479702036213,0.4987499713897705,0.029764704406261444,0.44999998807907104,0.5400000214576721,-0.189662029,-0.177043677,0.0006191298749332351,1.292791967038755,0.004864362523356384,0.060013864620554226,0.0003,401,399,44.539324204560494,15.123077392578125,52.12087059020996,67.24394798278809,824,0.3244816000001265,0,0,TRUE,pair,395,6.00191630000279,6.461769616663555,80,0,7.582278481012659,6.00191630000279,0.7239041000010502,8.000503100003357,cpu,cuda:0,0,671.3222656,48
7,1,DDT1200_num100.txt,fixed,3034,8,379.25,17.448137283325195,17.33832550048828,8.971637726062909e-06,0.12,0.001563157841493554,0.5074999928474426,0.0615934282541275,0.4099999964237213,0.6100000143051147,-0.141193269,-0.128116077,0.0003991416758961148,1.3276762255915888,0.005181394386993445,0.0633926412642554,0.0003,394,406,45.6203149567085,17.364032745361328,49.14142656326294,66.50545930862427,811,0.44919379999942066,0,0,TRUE,pair,400,7.454060500001333,6.6783124595860865,70,0,7.585,7.454060500001333,0.8170020000020486,8.66475779999655,cpu,cuda:0,0,671.32275390625,50
8,1,DDT1200_num100.txt,fixed,3103,8,387.875,13.128570556640625,16.197242736816406,8.503224307787605e-06,0.62,0.021603554975801402,0.5387499928474426,0.03218599408864975,0.5,0.6000000238418579,-0.138904581,-0.126457065,0.0003310005219342808,1.2613016146200675,0.012879893955498658,0.16524272089548134,0.0003,369,431,46.20781557974728,16.223212003707886,50.929929971694946,67.15314197540283,824,0.3217165999999452,0,0,TRUE,pair,409,6.695925000002944,5.937157589122245,60,0,7.58679706601467,6.695925000002944,0.7902180999967641,8.328193699994245,cpu,cuda:0,0,671.32470703125,50
9,1,DDT1200_num100.txt,fixed,3035,8,379.375,4.442338943481445,16.136119842529297,5.436780156742316e-06,0.44,0.010916827446742182,0.5274999737739563,0.038324277848005295,0.4699999988079071,0.5699999928474426,-0.14505,-0.132578476,0.0007826314594475898,1.2862838550850197,0.005077682277058355,0.06380289706780955,0.0003,378,422,45.58466833178721,16.169251441955566,50.41015148162842,66.57940292358398,811,0.32893700000431636,0,0,TRUE,pair,385,6.762828399999307,6.2464579901938775,80,0,7.883116883116883,6.762828399999307,0.7693128999981127,8.222531899995602,cpu,cuda:0,0,671.32275390625,52
10,1,DDT1200_num100.txt,fixed,2958,8,369.75,14.592378616333008,16.38963508605957,8.635888661956415e-06,0.24,-0.01381244,0.5149999856948853,0.04974937438964844,0.44999998807907104,0.5799999833106995,-0.117756005,-0.105195611,0.0007780143706541923,1.2949404495733756,0.007437493254352982,0.08583041059750098,0.0003,388,412,45.5018534849522,16.416226148605347,48.59211468696594,65.00834083557129,801,0.3362233000007109,0,0,TRUE,pair,389,6.976948199997196,6.4405003373005485,70,0,7.604113110539846,6.976948199997196,0.8802820000003067,8.128474499999129,cpu,cuda:0,0,671.3222656,45
11,1,DDT1200_num100.txt,fixed,2987,8,373.375,11.95760726928711,16.465789794921875,7.5394573286757804e-06,0.5599999999999999,-0.01625807,0.5349999666213989,0.043874822556972504,0.4699999988079071,0.6299999952316284,-0.135891217,-0.123606747,0.0005126325068650422,1.2540791741123907,0.00441820631062405,0.05674557822446028,0.0003,372,428,45.84830666612593,16.490009546279907,48.65961575508118,65.14962530136108,793,0.3199259999953483,0,0,TRUE,pair,401,7.0061419000026035,6.060261132847237,65,0,7.448877805486284,7.0061419000026035,0.8195072999994863,8.244788400004836,cpu,cuda:0,0,671.3222656,40
12,1,DDT1200_num100.txt,fixed,2999,8,374.875,17.445898056030273,16.591726303100586,9.39260280574672e-06,0.48,-0.035107253,0.5299999713897705,0.04555216431617737,0.49000000953674316,0.6100000143051147,-0.128491315,-0.115662868,0.0003930740893809815,1.3024986187616985,0.0038352693566897265,0.0484127796565493,0.0003,376,424,45.9620870371922,16.61723041534424,48.63220000267029,65.24943041801453,802,0.3269014000045445,0,0,TRUE,pair,399,7.19839209999941,6.3661220416342195,65,0,7.516290726817043,7.19839209999941,0.802728099999058,8.218279499999198,cpu,cuda:0,0,671.3222656,37
13,1,DDT1200_num100.txt,fixed,3006,8,375.75,18.932445526123047,16.207746505737305,1.1523290595505387e-05,0.58,-0.007759092,0.5362499952316284,0.054757993668317795,0.41999998688697815,0.6100000143051147,-0.118164677,-0.106352445,0.0004533620311930362,1.203891356786092,0.006240003445849719,0.08467377494606707,0.0003,371,429,45.9540605253667,16.231251001358032,49.181902170181274,65.4131531715393,804,0.31469190000098024,0,0,TRUE,pair,404,6.813652599999386,5.570858282719306,50,0,7.4405940594059405,6.813652599999386,0.8187675999954536,8.183517999997775,cpu,cuda:0,0,671.3222656,41
14,1,DDT1200_num100.txt,fixed,3064,8,383,22.181072235107422,17.02964973449707,1.2470909496187232e-05,0.78,0.010194770748791326,0.5487499833106995,0.0488460548222065,0.5,0.6399999856948853,-0.104747864,-0.093283897,0.00028827073886835325,1.160810320465653,0.004669416709846162,0.05475829610670054,0.0003,361,439,45.75302000573701,17.056023120880127,49.91223382949829,66.96825695037842,805,0.33131620000062867,0,0,TRUE,pair,423,7.441195299999663,5.338120104127391,60,0,7.243498817966903,7.441195299999663,0.8172008000040023,8.376669200003107,cpu,cuda:0,0,671.32275390625,43
15,1,DDT1200_num100.txt,fixed,3114,8,389.25,13.282978057861328,15.811891555786133,8.01455280452501e-06,1.32,0.016213573936129124,0.5824999809265137,0.02436698228120804,0.550000011920929,0.6299999952316284,-0.120252699,-0.108867147,0.0002473754567391653,1.1509238062081513,0.003896375900324158,0.04631553955928043,0.0003,334,466,46.66389315146576,15.835984230041504,50.89655327796936,66.73253750801086,784,0.30288219999715693,0,0,TRUE,pair,414,6.448365900000226,5.261721258677959,55,0,7.521739130434782,6.448365900000226,0.7234891000093739,8.273271400007161,cpu,cuda:0,0,671.32470703125,46
16,1,DDT1200_num100.txt,fixed,3054,8,381.75,20.825164794921875,17.094234466552734,1.2723602594633121e-05,0.84,0.012996234832352767,0.5525000095367432,0.04493049904704094,0.46000000834465027,0.6200000047683716,-0.194763005,-0.183924653,0.000624965611172633,1.1150839571599607,0.008994824817852565,0.1051393580381517,0.0003,358,442,46.1584872774844,17.120869398117065,49.04247736930847,66.16334676742554,790,0.317176899997321,0,0,TRUE,pair,414,7.598904800004902,5.407334643637502,60,0,7.3768115942028984,7.598904800004902,0.7927565999891613,8.3147248999976,cpu,cuda:0,0,671.32275390625,47
17,1,DDT1200_num100.txt,fixed,3042,8,380.25,11.266654014587402,14.893327713012695,7.104713859007461e-06,1.02,0.013922138341931798,0.5637499690055847,0.025464437901973724,0.5199999809265137,0.6100000143051147,-0.114806451,-0.103751983,0.00031641845244276165,1.1212675593517445,0.00576590149042507,0.06770694093709742,0.0003,349,451,49.89676492127965,14.918084621429443,46.047791719436646,60.96587634086609,794,0.300623000002588,0,0,TRUE,pair,396,5.935457399998086,5.334976988117762,45,0,7.681818181818182,5.935457399998086,0.6896156999971481,7.917171499999313,cpu,cuda:0,0,671.32275390625,49
18,1,DDT1200_num100.txt,fixed,2877,8,359.625,14.438987731933594,13.63106918334961,8.217662980314344e-06,0.32,0.009390717946719121,0.5199999809265137,0.03774917870759964,0.4699999988079071,0.6000000238418579,-0.165600296,-0.154477701,0.0004665580021941827,1.1355878975656297,0.008905768752339538,0.12662906047922592,0.0003,384,416,50.92150659038472,13.656630992889404,42.842090129852295,56.4987211227417,773,0.28852159999678406,0,0,TRUE,pair,380,5.19217489999869,5.67327076824415,80,0,7.571052631578947,5.19217489999869,0.6279402999955437,7.479651999995667,cpu,cuda:0,0,671.31982421875,49
