iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT900_num100.txt,fixed,1950,8,243.75,17.21735954284668,11.101775169372559,9.08496804186143e-06,-5.9,-0.088638139,0.13125000894069672,0.028912583366036415,0.09000000357627869,0.1899999976158142,-0.396841215,-0.381507424,0.0016527056189564366,1.616015354792277,0.0006452129390860742,0.003362691650787989,0.0003,695,105,46.057189374283006,11.115840435028076,31.22282648086548,42.338666915893555,910,0.3328004000011333,0,0,TRUE,pair,278,4.835589999999456,9.076923076311747,80,0,7.014388489208633,4.835589999999456,0.537967699997921,5.472483599997304,cpu,cuda:0,0,671.6289063,47
1,1,DDT900_num100.txt,fixed,1881,8,235.125,18.50295639038086,10.837772369384766,7.856968295527622e-06,-5.9,-0.096218328,0.13125000894069672,0.04075460135936737,0.07000000029802322,0.1899999976158142,-0.427716035,-0.412596957,0.002046966003642107,1.6142571142741613,0.0009016271661883886,0.01007684558585641,0.0003,695,105,43.826142394517184,10.858661413192749,32.06092715263367,42.919588565826416,899,0.33946679999974094,0,0,TRUE,pair,254,4.793139400000314,9.090909091162592,70,0,7.405511811023622,4.793139400000314,0.534124799996107,5.26262289999795,cpu,cuda:0,0,671.6269531,47
2,1,DDT900_num100.txt,fixed,1976,8,247,15.604486465454102,9.592256546020508,1.0972436029987875e-05,-5.62,-0.122263486,0.14874999225139618,0.038547858595848083,0.10999999940395355,0.23999999463558197,-0.372926694,-0.359091815,0.0027857216177619108,1.5227740038008917,0.002405023979788114,0.03110651304901001,0.0003,681,119,42.73758733334441,9.618686437606812,36.616960525512695,46.23564696311951,916,0.3317080000011856,0,0,TRUE,pair,280,3.659575699997049,8.59058704465507,80,0,7.057142857142857,3.659575699997049,0.43553230000406984,5.272212299998614,cpu,cuda:0,0,671.6289063,49
3,1,DDT900_num100.txt,fixed,1980,8,247.5,15.882380485534668,13.162043571472168,9.910873814078514e-06,-5.58,-0.162425534,0.15125000476837158,0.03722817823290825,0.09000000357627869,0.20999999344348907,-0.329152671,-0.314470659,0.001599426328625885,1.5481730529240199,0.0022918472393593263,0.020684203011028114,0.0003,679,121,44.70793543059996,13.185356378555298,31.102083444595337,44.287439823150635,921,0.43297020000068187,0,0,TRUE,pair,273,5.950069899999107,9.075252525734179,65,0,7.252747252747253,5.950069899999107,0.5719563999914499,6.34375509999677,cpu,cuda:0,0,671.6289063,50
4,1,DDT900_num100.txt,fixed,2032,8,254,19.691368103027344,12.068342208862305,1.0098370694322512e-05,-5.58,-0.185124369,0.1512499898672104,0.037893764674663544,0.10999999940395355,0.23999999463558197,-0.254416086,-0.240317235,0.0037326272819579267,1.5965168178081512,0.005569896956634087,0.07287064520642161,0.0003,679,121,44.47693242811245,12.090917110443115,33.59568691253662,45.686604022979736,953,0.3800696000091648,0,0,TRUE,pair,288,5.301363000000947,9.11023622211509,80,0,7.055555555555555,5.301363000000947,0.6062322000009317,5.87393479999605,cpu,cuda:0,0,671.62939453125,50
5,1,DDT900_num100.txt,fixed,2158,8,269.75,6.887488842010498,11.375642776489258,6.198883056640625e-06,-5.44,-0.200680575,0.1599999964237213,0.02345207892358303,0.11999999731779099,0.1899999976158142,-0.148040146,-0.134248424,0.004517009824970349,1.605022370815277,0.004124505977112373,0.051377656733772405,0.0003,672,128,42.994449947888754,11.40036678314209,38.792158126831055,50.192524909973145,943,0.36856269999634605,0,0,TRUE,pair,280,4.497887499999024,9.437905468467875,90,0,7.707142857142857,4.497887499999024,0.541257699999278,6.063297799994643,cpu,cuda:0,0,671.6318359,51
6,1,DDT900_num100.txt,fixed,1960,8,245,19.83053207397461,10.532869338989258,9.996535482059699e-06,-5.98,-0.27777947,0.1262499988079071,0.03079671412706375,0.05999999865889549,0.1599999964237213,-0.334438149,-0.320956728,0.004567997255695185,1.576541883604867,0.0041213549404693324,0.055537866650237924,0.0003,699,101,47.4974617585654,10.555985450744629,30.70937752723694,41.26536297798157,944,0.35767879999798424,0,0,TRUE,pair,285,4.338125000002719,9.752551019678311,65,0,6.87719298245614,4.338125000002719,0.5022271000020737,5.447089699998969,cpu,cuda:0,0,671.6289063,52
7,1,DDT900_num100.txt,fixed,1993,8,249.125,7.096434116363525,11.298638343811035,5.8981499932997394e-06,-5.7,-0.320870653,0.14374999701976776,0.03935019299387932,0.07999999821186066,0.23000000417232513,-0.25029037,-0.23683843,0.004677963461117109,1.5790924571809315,0.0054641199461738805,0.07404139649034255,0.0003,685,115,45.780564460962516,11.323014974594116,32.210742712020874,43.53375768661499,930,0.3660372999993342,0,0,TRUE,pair,258,4.896602599997095,9.421475163429632,70,0,7.724806201550388,4.896602599997095,0.5302824999987479,5.614227200004052,cpu,cuda:0,0,671.62939453125,51
8,1,DDT900_num100.txt,fixed,2034,8,254.25,15.896147727966309,10.645502090454102,8.734064067539293e-06,-5.96,-0.356917672,0.1274999976158142,0.0476313978433609,0.05000000074505806,0.20999999344348907,-0.268774883,-0.255315036,0.005236374923870677,1.607803532055446,0.00442922706549455,0.05002244907830443,0.0003,698,102,43.62156144014662,10.66828203201294,35.9600350856781,46.62831711769104,952,0.3590982999978678,0,0,TRUE,pair,276,4.222153199997138,9.820058999277263,65,0,7.369565217391305,4.222153199997138,0.4905307999965771,5.683451800005287,cpu,cuda:0,0,671.62939453125,46
9,1,DDT900_num100.txt,fixed,1985,8,248.125,11.623656272888184,10.430754661560059,8.483146302751265e-06,-5.76,-0.366042909,0.14000000059604645,0.01870829053223133,0.11999999731779099,0.18000000715255737,-0.246337314,-0.233561754,0.005904047882982663,1.5727581296648299,0.005489105602637643,0.06971660832918826,0.0003,688,112,47.223540359840406,10.454386949539185,31.579733848571777,42.03412079811096,913,0.3537140999987969,0,0,TRUE,pair,265,4.11707009999941,9.821662467793193,70,0,7.490566037735849,4.11707009999941,0.5138916000012159,5.551119700002346,cpu,cuda:0,0,671.62939453125,42
