iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
3000,1,DDT600_num50.txt,fixed,1331,8,166.375,9.164299011230469,6.202448844909668,1.0977615602314472e-05,-5.12,-0.316541349,0.18000000715255737,0.026457512751221657,0.14000000059604645,0.2199999988079071,-0.053455294,-0.047549613,0.005562549317902368,0.8686959892511368,0.006170457087945478,0.04596604955279165,0.0003,328,72,38.35306779618935,6.217918157577515,28.485954999923706,34.70387315750122,556,0.299093299836386,0,0,TRUE,pair,180,1.913079300080426,4.034560480841472,25,0,7.394444444444445,1.913079300080426,0.25407989975064993,3.8773027003044263,cpu,cuda:0,0,148.1230469,49
3001,1,DDT600_num50.txt,fixed,1351,8,168.875,5.509934425354004,6.867990016937256,5.91499156143982e-06,-4.72,-0.267330975,0.20500001311302185,0.025980759412050247,0.1599999964237213,0.23999999463558197,-0.052346124,-0.044418067,0.00314108671930929,0.9498599211374918,0.006870448924019001,0.03276671590283513,0.0003,318,82,38.669577277006844,6.878779888153076,28.058245420455933,34.93702530860901,560,0.2573992001125589,0,0,TRUE,pair,179,2.2149031997541897,4.248704662859484,39,0,7.5474860335195535,2.2149031997541897,0.3035699993488379,4.162159299070481,cpu,cuda:0,0,146.40380859375,50
3002,1,DDT600_num50.txt,fixed,1307,8,163.375,7.920503616333008,6.842067241668701,6.262743681872962e-06,-4.68,-0.283135316,0.20749999582767487,0.03596873581409454,0.1599999964237213,0.2800000011920929,0.09819318900505701,0.1067120427886645,0.002282659833629926,0.9660184899965922,0.008033478543317566,0.05122095417852203,0.0003,317,83,43.597699797789964,6.852564334869385,23.126081466674805,29.97864580154419,553,0.2638721003313549,0,0,TRUE,pair,178,2.183395500120241,4.3221117041908155,30,0,7.342696629213483,2.183395500120241,0.3334875997970812,4.1416929992847145,cpu,cuda:0,0,143.7207031,50
3003,1,DDT600_num50.txt,fixed,1343,8,167.875,5.509934425354004,6.885158538818359,6.235454748093616e-06,-4.96,-0.300973559,0.1899999976158142,0.037416573613882065,0.11999999731779099,0.23999999463558197,0.06487325599624051,0.0729385931044817,0.0027829399461754495,0.9456811348597208,0.007444901951304119,0.03372850693348381,0.0003,324,76,65.17643388639375,6.897536993026733,13.708070278167725,20.605607271194458,575,0.2624191003269516,0,0,TRUE,pair,177,2.332068900053855,4.106478034074149,25,0,7.5875706214689265,2.332068900053855,0.30384140025125816,4.068184199859388,cpu,cuda:0,0,148.1230469,51
3004,1,DDT600_num50.txt,fixed,1320,8,165,11.224971771240234,6.2157440185546875,7.971884770086035e-06,-4.8,-0.315716075,0.20000000298023224,0.03464101254940033,0.14000000059604645,0.23999999463558197,-0.042369928,-0.035003887,0.003207394017783158,0.8969741568845861,0.009633932839599712,0.07233374448054854,0.0003,320,80,47.59949292720212,6.2291200160980225,21.502267837524414,27.731387853622437,546,0.2298813007073477,0,0,TRUE,pair,173,2.04888989997562,4.006060601725723,30,0,7.630057803468208,2.04888989997562,0.23928099969634786,3.7007669000304304,cpu,cuda:0,0,148.1230469,52
3005,1,DDT600_num50.txt,fixed,1336,8,167,9.192388534545898,6.576792240142822,9.612438589101657e-06,-4.68,-0.331001675,0.20750001072883606,0.0386490598320961,0.1599999964237213,0.2800000011920929,0.00963721126317978,0.017394219560083003,0.0029703515116125344,0.924218475818634,0.006885271987994201,0.009223785996437073,0.0003,317,83,88.27933270940927,6.592651844024658,8.541128158569336,15.133780002593994,546,0.24160750024020672,0,0,TRUE,pair,178,2.1579112998442724,4.038922156759365,21,0,7.50561797752809,2.1579112998442724,0.2803988014347851,3.969246200285852,cpu,cuda:0,0,147.72705078125,51
3006,1,DDT600_num50.txt,fixed,1357,8,169.625,8.644904136657715,6.2970757484436035,6.883239620947279e-06,-4.88,-0.379876644,0.19500000774860382,0.03968627005815506,0.11999999731779099,0.25999999046325684,-0.041065554,-0.033463675,0.0030465291606055368,0.9125143686930338,0.008689957638934074,0.032850588050981365,0.0003,322,78,41.87905577747107,6.308162450790405,26.094669342041016,32.40283179283142,571,0.31026700034271926,0,0,TRUE,pair,182,1.9766826996346936,4.056742814681771,32,0,7.456043956043956,1.9766826996346936,0.2755201989784837,3.876324899320025,cpu,cuda:0,0,148.12353515625,0
3007,1,DDT600_num50.txt,fixed,1334,8,166.75,10.437313079833984,5.8490800857543945,8.563177289033774e-06,-4.68,-0.357135137,0.20750001072883606,0.05825590342283249,0.11999999731779099,0.30000001192092896,0.06075180002621242,0.06881087725715977,0.003563138556533626,0.9840646002973829,0.0077850349028137445,0.023588733481509343,0.0003,317,83,42.71373017333653,5.865700721740723,25.365474700927734,31.231175422668457,557,0.2042797005851753,0,0,TRUE,pair,179,1.9216890000971034,4.242128933387539,25,0,7.4525139664804465,1.9216890000971034,0.24530780036002398,3.5354100990807638,cpu,cuda:0,0,142.67626953125,45
3008,1,DDT600_num50.txt,fixed,1340,8,167.5,9.447221755981445,6.912485599517822,1.1258811355219223e-05,-4.76,-0.388459306,0.20250000059604645,0.041758231818675995,0.11999999731779099,0.25999999046325684,0.008657058131777577,0.01606186670768592,0.0037242907306386363,0.9266954296165042,0.005534838319161079,0.04137966034209563,0.0003,319,81,45.16095122545552,6.928490400314331,22.74316096305847,29.671651363372803,546,0.258162000332959,0,0,TRUE,pair,180,2.323678699613083,4.008955222279278,30,0,7.444444444444445,2.323678699613083,0.298461499507539,4.104890297807287,cpu,cuda:0,0,148.1230469,42
3009,1,DDT600_num50.txt,fixed,1304,8,163,11.554220199584961,7.156827926635742,6.633008979406441e-06,-5,-0.416191919,0.1875000149011612,0.034550685435533524,0.14000000059604645,0.23999999463558197,0.06060720880826314,0.06779864877462387,0.0037632163303593794,0.9073044498761494,0.0066239897544922615,0.03759815733258923,0.0003,325,75,39.69373859721864,7.168581247329712,25.682947635650635,32.85152888298035,553,0.2846076996065676,0,0,TRUE,pair,178,2.2897865993436426,4.07361963391304,28,0,7.325842696629214,2.2897865993436426,0.30818290065508336,4.358272700046655,cpu,cuda:0,0,144.44091796875,40
