iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
2000,1,DDT1600_num50.txt,fixed,1522,8,190.25,4.548351287841797,8.272401809692383,9.331886758445762e-06,1.6,0.04048733292962473,0.5999999642372131,0.04582575336098671,0.5400000214576721,0.699999988079071,-0.242177633,-0.236211283,0.0019568155403248966,0.6944760878880819,0.03379168712611621,0.011424782685935497,0.0003,160,240,134.4572591016229,8.299498796463013,3.020083427429199,11.319582223892212,366,0.18552520097000524,0,0,TRUE,pair,200,2.5675337003194727,4.118922469807047,25,0,7.61,2.5675337003194727,0.4468282996676862,5.016994500590954,cpu,cuda:0,0,51.95654297,49
2001,1,DDT1600_num50.txt,fixed,1520,8,190,6.3442888259887695,7.357420444488525,7.020202701824019e-06,1.72,0.05358189375280187,0.6074999570846558,0.024366986006498337,0.5600000023841858,0.6399999856948853,-0.139272855,-0.132703218,0.0011444796774802463,0.7141868855272021,0.011063677471400166,0.032990110805258155,0.0003,157,243,46.92280926085997,7.368023872375488,25.025603532791138,32.393627405166626,374,0.16415039950516075,0,0,TRUE,pair,200,2.1583538000122644,4.246052631108385,25,0,7.6,2.1583538000122644,0.37336200184654444,4.617913602036424,cpu,cuda:0,0,148.1259766,49
2002,1,DDT1600_num50.txt,fixed,1536,8,192,4.924428939819336,7.524056434631348,5.299117674439913e-06,1.48,0.07828390491347374,0.5924999713897705,0.04115520417690277,0.5199999809265137,0.6600000262260437,-0.173315407,-0.167173077,0.0013386055143200792,0.6811633879939715,0.012083753795498827,0.027710729162208736,0.0003,163,237,61.463605941185605,7.5371105670928955,17.453287839889526,24.990398406982422,379,0.16695350041845813,0,0,TRUE,pair,200,2.3513692997512408,4.083984374068677,25,0,7.68,2.3513692997512408,0.417013899423182,4.541617600363679,cpu,cuda:0,0,148.1259766,48
2003,1,DDT1600_num50.txt,fixed,1531,8,191.375,4.948168754577637,6.512214183807373,5.237074674369069e-06,1.6,0.0831361137963164,0.6000000238418579,0.033166252076625824,0.5600000023841858,0.6600000262260437,-0.112308365,-0.105753847,0.0009306562252972714,0.701984398505267,0.006746571889781241,0.03723760617568212,0.0003,160,240,49.72339929186808,6.522962331771851,24.267370223999023,30.790332555770874,382,0.16204029967775568,0,0,TRUE,pair,199,1.9119346003280953,4.2364467660404355,25,0,7.693467336683417,1.9119346003280953,0.3516051012557,4.056360198999755,cpu,cuda:0,0,148.1259766,49
2004,1,DDT1600_num50.txt,fixed,1531,8,191.375,4.846067905426025,6.826891899108887,1.385394534736406e-05,1.48,0.09724636668064197,0.5924999713897705,0.02989564836025238,0.5600000023841858,0.6399999856948853,-0.109230562,-0.102841006,0.000943536816824538,0.6861319541931152,0.011281319174789436,0.02345950195255379,0.0003,163,237,55.69188425930953,6.83907151222229,20.651468992233276,27.490540504455566,375,0.17098649946274236,0,0,TRUE,pair,201,1.9134134005289525,4.148922272712713,25,0,7.616915422885572,1.9134134005289525,0.3523578996537253,4.368656798964366,cpu,cuda:0,0,148.1259766,49
2005,1,DDT1600_num50.txt,fixed,1525,8,190.625,5.406882286071777,6.686949729919434,6.175915586936753e-06,1.56,0.10877948761395448,0.5974999666213989,0.025372231379151344,0.5600000023841858,0.6399999856948853,-0.080955489,-0.07434169,0.001007438515080139,0.7117513418197632,0.02140970186301274,0.026084341946989296,0.0003,161,239,73.29004215563496,6.699390649795532,14.108347415924072,20.807738065719604,368,0.1633874998660758,0,0,TRUE,pair,199,1.9317314999061637,4.086557379081601,25,0,7.663316582914573,1.9317314999061637,0.3485784011427313,4.216970401641447,cpu,cuda:0,0,148.1259766,50
2006,1,DDT1600_num50.txt,fixed,1519,8,189.875,5.732309818267822,6.6578264236450195,5.486218014993938e-06,1.4,0.13660209319458158,0.5874999761581421,0.037332963198423386,0.5199999809265137,0.6399999856948853,0.023314831778407097,0.030049599707126617,0.0006701620179228485,0.7069850087165832,0.028655129404251058,0.022020634077489377,0.0003,165,235,95.89004101096793,6.66925048828125,9.171810626983643,15.841061115264893,381,0.1655262993881479,0,0,TRUE,pair,201,1.918875100207515,4.329163923790928,40,0,7.557213930348259,1.918875100207515,0.34903480007778853,4.199577999883331,cpu,cuda:0,0,148.1259766,50
2007,1,DDT1600_num50.txt,fixed,1564,8,195.5,3,8.10912799835205,4.839368557441048e-06,1.8,0.15531910416090922,0.6124999523162842,0.028173571452498436,0.5799999833106995,0.6600000262260437,0.04973009725411733,0.055842032035191856,0.0005986492760712281,0.6411258180936178,0.0063420232460581856,0.012524429786329469,0.0003,155,245,85.31052244807329,8.120297908782959,10.211719512939453,18.333025693893433,371,0.17977219907334074,0,0,TRUE,pair,199,2.4561772000743076,3.947570332023494,30,0,7.85929648241206,2.4561772000743076,0.43097879947163165,4.987375401309691,cpu,cuda:0,0,148.1279297,51
2008,1,DDT1600_num50.txt,fixed,1569,8,196.125,6.411659240722656,7.998593330383301,5.6721578403085005e-06,1.96,0.170507541766682,0.6225000023841858,0.049434300512075424,0.5400000214576721,0.7200000286102295,-0.110411176,-0.10356875,0.0008345365786226466,0.7259701192378998,0.043509831148185185,0.019854566548019648,0.0003,151,249,116.08168538946896,8.014395236968994,5.501948833465576,13.51634407043457,374,0.17481850006151944,0,0,TRUE,pair,208,2.5923907997785136,4.145315488787348,25,0,7.543269230769231,2.5923907997785136,0.4334236989961937,4.742202600988094,cpu,cuda:0,0,78.29003906,51
2009,1,DDT1600_num50.txt,fixed,1578,8,197.25,6.417748928070068,7.290464401245117,6.208046215760987e-06,1.8,0.1856942595113665,0.6124999523162842,0.041155193001031876,0.5600000023841858,0.6800000071525574,-0.0194929,-0.012589258,0.0006361924483476636,0.722173823760106,0.015127614277634375,0.01906946226238058,0.0003,155,245,53.5687193484917,7.30557656288147,22.151913166046143,29.457489728927612,375,0.17337090004002675,0,0,TRUE,pair,208,2.15241820004303,4.092522181032275,20,0,7.586538461538462,2.15241820004303,0.39299969957210124,4.532390499196481,cpu,cuda:0,0,148.1279297,49
